Siruta,Localitate,Judet,Mediu
129503,Topana,ot,urban
129567,Traian,ot,urban
129585,Tufeni,ot,urban
129629,Urzica,ot,urban
129656,Valea Mare,ot,urban
129718,Vadastra,ot,urban
129745,Vadastrita,ot,urban
129763,Valeni,ot,urban
129816,Verguleasa,ot,urban
129898,Visina,ot,urban
129914,Vitomiresti,ot,urban
129987,Valcele,ot,urban
130026,Vladila,ot,urban
130062,Voineasa,ot,urban
130124,Vulpeni,ot,urban
130231,Vulturesti,ot,urban
130286,Balteni,ot,urban
130295,Calui,ot,urban
130302,Gavanesti,ot,urban
130311,Ghimpeteni,ot,urban
130320,Gradinile,ot,urban
130339,Gura Padinii,ot,urban
130348,Ipotesti,ot,urban
130357,Osica De Jos,ot,urban
130366,Sarbii - Magura,ot,urban
130375,Visina Noua,ot,urban
130384,Soparlita,ot,urban
130534,Municipiul Ploiesti,ph,urban
130552,Barcanesti,ph,urban
130614,Berceni,ph,urban
130678,Blejoi,ph,urban
130712,Brazi,ph,urban
130785,Bucov,ph,urban
130847,Paulesti,ph,urban
130892,Targsoru Vechi,ph,urban
130954,Oras Azuga,ph,urban
130981,Oras Baicoi,ph,urban
131069,Oras Boldesti-Scaeni,ph,urban
131103,Oras Breaza,ph,urban
131210,Oras Busteni,ph,urban
131256,Municipiul Campina,ph,urban
131274,Poiana Campina,ph,urban
131336,Oras Comarnic,ph,urban
131407,Oras Mizil,ph,urban
131443,Oras Plopeni,ph,urban
131461,Dumbravesti,ph,urban
131540,Oras Sinaia,ph,urban
131577,Oras Slanic,ph,urban
131620,Oras Urlati,ph,urban
131817,Oras Valenii De Munte,ph,urban
131835,Gura Vitioarei,ph,urban
131899,Adunati,ph,urban
131933,Albesti-Paleologu,ph,urban
131988,Alunis,ph,urban
132011,Apostolache,ph,urban
132075,Aricestii Rahtivani,ph,urban
132137,Aricestii Zeletin,ph,urban
132164,Baba Ana,ph,urban
132226,Balta Doamnei,ph,urban
132271,Baltesti,ph,urban
132315,Banesti,ph,urban
132342,Bertea,ph,urban
132379,Boldesti-Gradistea,ph,urban
132404,Brebu,ph,urban
132459,Calugareni,ph,urban
132486,Carbunesti,ph,urban
132510,Ceptura,ph,urban
132574,Cerasu,ph,urban
132645,Chiojdeanca,ph,urban
132681,Ciorani,ph,urban
132716,Cocorastii Mislii,ph,urban
132752,Colceag,ph,urban
132805,Cornu,ph,urban
132841,Cosminele,ph,urban
132896,Drajna,ph,urban
133018,Draganesti,ph,urban
133090,Dumbrava,ph,urban
133161,Filipestii De Padure,ph,urban
133214,Filipestii De Targ,ph,urban
133278,Fantanele,ph,urban
133330,Floresti,ph,urban
133394,Fulga,ph,urban
133429,Gherghita,ph,urban
133508,Gorgota,ph,urban
133562,Gornet,ph,urban
133615,Gornet-Cricov,ph,urban
133688,Gura Vadului,ph,urban
133722,Iordacheanu,ph,urban
133795,Izvoarele,ph,urban
133866,Jugureni,ph,urban
133919,Lapos,ph,urban
133964,Lipanesti,ph,urban
134014,Magurele,ph,urban
134050,Magureni,ph,urban
134096,Maneciu,ph,urban
134194,Manesti,ph,urban
134336,Pacureti,ph,urban
134390,Plopu,ph,urban
134443,Podenii Noi,ph,urban
134559,Poienarii Burchii,ph,urban
134648,Posesti,ph,urban
134755,Predeal-Sarari,ph,urban
134853,Provita De Jos,ph,urban
134899,Provita De Sus,ph,urban
134942,Puchenii Mari,ph,urban
135020,Rafov,ph,urban
135128,Salcia,ph,urban
135146,Salciile,ph,urban
135164,Scorteni,ph,urban
135226,Secaria,ph,urban
135244,Sangeru,ph,urban
135315,Starchiojd,ph,urban
135404,Surani,ph,urban
135431,Sirna,ph,urban
135501,Soimari,ph,urban
135547,Sotrile,ph,urban
135618,Stefesti,ph,urban
135654,Talea,ph,urban
135681,Tataru,ph,urban
135725,Teisani,ph,urban
135789,Telega,ph,urban
135850,Tinosu,ph,urban
135896,Tomsani,ph,urban
135949,Valea Calugareasca,ph,urban
136107,Valea Doftanei,ph,urban
136134,Varbilau,ph,urban
136198,Valcanesti,ph,urban
136241,Cocorastii Colt,ph,urban
136250,Olari,ph,urban
136269,Vadu Sapat,ph,urban
136278,Batrani,ph,urban
136483,Municipiul Satu Mare,sm,urban
136526,Municipiul Carei,sm,urban
136553,Capleni,sm,urban
136599,Oras Negresti-Oas,sm,urban
136642,Oras Tasnad,sm,urban
136713,Acas,sm,urban
136768,Andrid,sm,urban
136802,Apa,sm,urban
136848,Oras Ardud,sm,urban
136919,Batarci,sm,urban
136964,Beltiug,sm,urban
137032,Berveni,sm,urban
137069,Bixad,sm,urban
137103,Barsau,sm,urban
137130,Bogdand,sm,urban
137185,Botiz,sm,urban
137229,Calinesti-Oas,sm,urban
137274,Camarzana,sm,urban
137292,Cauas,sm,urban
137363,Cehal,sm,urban
137407,Certeze,sm,urban
137443,Craidorolt,sm,urban
137504,Crucisor,sm,urban
137540,Culciu,sm,urban
137611,Doba,sm,urban
137675,Dorolt,sm,urban
137728,Foieni,sm,urban
137746,Gherta Mica,sm,urban
137764,Halmeu,sm,urban
137844,Hodod,sm,urban
137899,Homoroade,sm,urban
137960,Lazuri,sm,urban
138039,Oras Livada,sm,urban
138084,Mediesu Aurit,sm,urban
138164,Micula,sm,urban
138208,Moftin,sm,urban
138280,Odoreu,sm,urban
138351,Orasu Nou,sm,urban
138431,Paulesti,sm,urban
138501,Petresti,sm,urban
138538,Pir,sm,urban
138574,Piscolt,sm,urban
138618,Pomi,sm,urban
138663,Sanislau,sm,urban
138734,Santau,sm,urban
138770,Sacaseni,sm,urban
138805,Sauca,sm,urban
138869,Socond,sm,urban
138921,Supur,sm,urban
139009,Tarna Mare,sm,urban
139054,Terebesti,sm,urban
139107,Tiream,sm,urban
139143,Tarsolt,sm,urban
139170,Turt,sm,urban
139214,Turulung,sm,urban
139250,Urziceni,sm,urban
139287,Valea Vinului,sm,urban
139330,Vama,sm,urban
139358,Vetis,sm,urban
139394,Viile Satu Mare,sm,urban
139704,Municipiul Zalau,sj,urban
139740,Oras Cehu Silvaniei,sj,urban
139811,Oras Jibou,sj,urban
139884,Oras Simleu Silvaniei,sj,urban
139937,Agrij,sj,urban
139982,Almasu,sj,urban
140084,Babeni,sj,urban
140146,Balan,sj,urban
140208,Banisor,sj,urban
140244,Benesat,sj,urban
140280,Bobota,sj,urban
140324,Bocsa,sj,urban
140379,Buciumi,sj,urban
140440,Camar,sj,urban
140477,Carastelec,sj,urban
140501,Chiesd,sj,urban
140547,Cizer,sj,urban
140583,Coseiu,sj,urban
140627,Crasna,sj,urban
140672,Creaca,sj,urban
140770,Cristolt,sj,urban
140823,Criseni,sj,urban
140869,Cuzaplac,sj,urban
140958,Dobrin,sj,urban
141027,Dragu,sj,urban
141081,Fildu De Jos,sj,urban
141134,Galgau,sj,urban
141232,Garbou,sj,urban
141312,Halmasd,sj,urban
141376,Hereclean,sj,urban
141447,Hida,sj,urban
141535,Horoatu Crasnei,sj,urban
141580,Ileanda,sj,urban
141722,Ip,sj,urban
141786,Letca,sj,urban
141884,Lozna,sj,urban
141946,Marca,sj,urban
142006,Maeriste,sj,urban
142079,Mesesenii De Jos,sj,urban
142122,Mirsid,sj,urban
142177,Napradea,sj,urban
142239,Nusfalau,sj,urban
142284,Pericei,sj,urban
142337,Plopis,sj,urban
142373,Poiana Blenchii,sj,urban
142426,Romanasi,sj,urban
142499,Rus,sj,urban
142550,Salatig,sj,urban
142612,Sag,sj,urban
142676,Sanmihaiu Almasului,sj,urban
142710,Somes-Odorhei,sj,urban
142774,Surduc,sj,urban
142854,Samsud,sj,urban
142881,Sarmasag,sj,urban
142952,Valcau De Jos,sj,urban
143021,Varsolt,sj,urban
143067,Zalha,sj,urban
143147,Zimbor,sj,urban
143450,Municipiul Sibiu,sb,urban
143487,Cristian,sb,urban
143502,Poplaca,sb,urban
143520,Rasinari,sb,urban
143557,Selimbar,sb,urban
143619,Municipiul Medias,sb,urban
143646,Tarnava,sb,urban
143682,Oras Agnita,sb,urban
143735,Oras Cisnadie,sb,urban
143771,Oras Copsa Mica,sb,urban
143806,Oras Dumbraveni,sb,urban
143851,Oras Ocna Sibiului,sb,urban
143888,Altina,sb,urban
143922,Apoldu De Jos,sb,urban
143959,Arpasu De Jos,sb,urban
143995,Atel,sb,urban
144054,Oras Avrig,sb,urban
144116,Axente Sever,sb,urban
144152,Bazna,sb,urban
144198,Biertan,sb,urban
144232,Barghis,sb,urban
144303,Blajel,sb,urban
144349,Brateiu,sb,urban
144376,Bradeni,sb,urban
144410,Bruiu,sb,urban
144456,Chirpar,sb,urban
144508,Carta,sb,urban
144535,Cartisoara,sb,urban
144553,Darlos,sb,urban
144599,Gura Raului,sb,urban
144615,Hoghilag,sb,urban
144651,Iacobeni,sb,urban
144713,Jina,sb,urban
144731,Laslea,sb,urban
144795,Loamnes,sb,urban
144866,Ludos,sb,urban
144893,Marpod,sb,urban
144928,Oras Miercurea Sibiului,sb,urban
144964,Merghindeal,sb,urban
144991,Micasasa,sb,urban
145042,Mihaileni,sb,urban
145104,Mosna,sb,urban
145140,Nocrich,sb,urban
145202,Orlat,sb,urban
145220,Pauca,sb,urban
145275,Poiana Sibiului,sb,urban
145293,Porumbacu De Jos,sb,urban
145355,Racovita,sb,urban
145382,Rau Sadului,sb,urban
145408,Rosia,sb,urban
145471,Sadu,sb,urban
145499,Oras Saliste,sb,urban
145603,Slimnic,sb,urban
145667,Seica Mare,sb,urban
145738,Seica Mica,sb,urban
145765,Sura Mare,sb,urban
145792,Sura Mica,sb,urban
145827,Oras Talmaciu,sb,urban
145907,Tilisca,sb,urban
145934,Turnu Rosu,sb,urban
145961,Valea Viilor,sb,urban
145998,Vurpar,sb,urban
146012,Alma,sb,urban
146021,Boita,sb,urban
146263,Municipiul Suceava,sv,urban
146281,Ipotesti,sv,urban
146325,Mitocu Dragomirnei,sv,urban
146370,Oras Salcea,sv,urban
146432,Scheia,sv,urban
146502,Municipiul Campulung Moldovenesc,sv,urban
146539,Municipiul Falticeni,sv,urban
146584,Oras Gura Humorului,sv,urban
146628,Municipiul Radauti,sv,urban
146655,Oras Siret,sv,urban
146708,Oras Solca,sv,urban
146744,Municipiul Vatra Dornei,sv,urban
146799,Adancata,sv,urban
146860,Arbore,sv,urban
146904,Baia,sv,urban
146931,Oras Milisauti,sv,urban
146995,Balcauti,sv,urban
147036,Bilca,sv,urban
147054,Bogdanesti,sv,urban
147072,Boroaia,sv,urban
147134,Bosanci,sv,urban
147161,Botosana,sv,urban
147205,Breaza,sv,urban
147241,Brodina,sv,urban
147358,Oras Brosteni,sv,urban
147465,Bunesti,sv,urban
147526,Cacica,sv,urban
147580,Calafindesti,sv,urban
147633,Oras Cajvana,sv,urban
147660,Ilisesti,sv,urban
147713,Carlibaba,sv,urban
147786,Cornu Luncii,sv,urban
147884,Crucea,sv,urban
147937,Darmanesti,sv,urban
148006,Oras Dolhasca,sv,urban
148097,Dolhesti,sv,urban
148131,Dorna-Arini,sv,urban
148202,Dorna Candrenilor,sv,urban
148293,Dornesti,sv,urban
148328,Dragoiesti,sv,urban
148382,Draguseni,sv,urban
148426,Dumbraveni,sv,urban
148453,Fantanele,sv,urban
148514,Forasti,sv,urban
148612,Oras Frasin,sv,urban
148667,Fratautii Noi,sv,urban
148694,Fratautii Vechi,sv,urban
148729,Frumosu,sv,urban
148765,Fundu Moldovei,sv,urban
148872,Galanesti,sv,urban
148916,Gramesti,sv,urban
148970,Granicesti,sv,urban
149049,Horodniceni,sv,urban
149101,Horodnic De Jos,sv,urban
149138,Iacobeni,sv,urban
149183,Izvoarele Sucevei,sv,urban
149227,Oras Liteni,sv,urban
149290,Marginea,sv,urban
149316,Malini,sv,urban
149370,Manastirea Humorului,sv,urban
149414,Moara,sv,urban
149502,Moldova-Sulita,sv,urban
149539,Moldovita,sv,urban
149584,Musenita,sv,urban
149655,Ostra,sv,urban
149682,Panaci,sv,urban
149753,Paltinoasa,sv,urban
149780,Partestii De Jos,sv,urban
149833,Patrauti,sv,urban
149851,Poiana Stampei,sv,urban
149931,Pojorata,sv,urban
149968,Preutesti,sv,urban
150043,Putna,sv,urban
150070,Radaseni,sv,urban
150114,Rasca,sv,urban
150178,Sadova,sv,urban
150196,Satu Mare,sv,urban
150221,Siminicea,sv,urban
150258,Slatina,sv,urban
150294,Straja,sv,urban
150310,Stroiesti,sv,urban
150356,Stulpicani,sv,urban
150418,Sucevita,sv,urban
150445,Saru Dornei,sv,urban
150524,Todiresti,sv,urban
150588,Udesti,sv,urban
150702,Ulma,sv,urban
150766,Vadu Moldovei,sv,urban
150891,Valea Moldovei,sv,urban
150935,Vama,sv,urban
150980,Vatra Moldovitei,sv,urban
151022,Veresti,sv,urban
151077,Vicovu De Jos,sv,urban
151095,Oras Vicovu De Sus,sv,urban
151120,Volovat,sv,urban
151157,Vulturesti,sv,urban
151246,Zamostea,sv,urban
151344,Zvoristea,sv,urban
151433,Comanesti,sv,urban
151442,Iaslovat,sv,urban
151451,Ciocanesti,sv,urban
151460,Serbauti,sv,urban
151479,Horodnic De Sus,sv,urban
151488,Fantana Mare,sv,urban
151497,Cosna,sv,urban
151503,Capu Campului,sv,urban
151512,Hantesti,sv,urban
151521,Burla,sv,urban
151530,Balaceana,sv,urban
151549,Hartop,sv,urban
151558,Voitinel,sv,urban
151567,Ciprian Porumbescu,sv,urban
151576,Berchisesti,sv,urban
151585,Poieni-Solca,sv,urban
151683,Municipiul Turnu Magurele,tr,urban
151709,Ciuperceni,tr,urban
151736,Islaz,tr,urban
151763,Lita,tr,urban
151790,Municipiul Alexandria,tr,urban
151816,Nanov,tr,urban
151834,Poroschia,tr,urban
151870,Municipiul Rosiori De Vede,tr,urban
151905,Oras Videle,tr,urban
151932,Crevenicu,tr,urban
151978,Oras Zimnicea,tr,urban
151996,Balaci,tr,urban
152038,Babaita,tr,urban
152083,Blejesti,tr,urban
152127,Bogdana,tr,urban
152172,Botoroaga,tr,urban
152234,Bragadiru,tr,urban
152252,Branceni,tr,urban
152270,Bujoreni,tr,urban
152314,Bujoru,tr,urban
152332,Buzescu,tr,urban
152350,Calinesti,tr,urban
152412,Calmatuiu,tr,urban
152467,Calmatuiu De Sus,tr,urban
152500,Cervenia,tr,urban
152528,Ciolanesti,tr,urban
152564,Contesti,tr,urban
152582,Cosmesti,tr,urban
152617,Crangeni,tr,urban
152662,Crangu,tr,urban
152724,Didesti,tr,urban
152760,Dobrotesti,tr,urban
152797,Dracsenei,tr,urban
152868,Draganesti De Vede,tr,urban
152902,Draganesti-Vlasca,tr,urban
152948,Furculesti,tr,urban
152993,Frumoasa,tr,urban
153026,Galateni,tr,urban
153062,Gratia,tr,urban
153106,Izvoarele,tr,urban
153124,Lisa,tr,urban
153151,Lunca,tr,urban
153204,Mavrodin,tr,urban
153240,Magura,tr,urban
153277,Maldaeni,tr,urban
153295,Mereni,tr,urban
153339,Marzanesti,tr,urban
153384,Mosteni,tr,urban
153400,Nasturelu,tr,urban
153437,Necsesti,tr,urban
153473,Olteni,tr,urban
153507,Orbeasca,tr,urban
153543,Peretu,tr,urban
153561,Piatra,tr,urban
153589,Pietrosani,tr,urban
153605,Plosca,tr,urban
153623,Plopii-Slavitesti,tr,urban
153696,Poeni,tr,urban
153776,Vitanesti,tr,urban
153829,Putineiu,tr,urban
153865,Radoiesti,tr,urban
153909,Rasmiresti,tr,urban
153936,Salcia,tr,urban
153972,Saceni,tr,urban
154013,Scrioastea,tr,urban
154068,Scurtu Mare,tr,urban
154139,Seaca,tr,urban
154166,Sfintesti,tr,urban
154184,Segarcea-Vale,tr,urban
154228,Silistea,tr,urban
154282,Silistea-Gumesti,tr,urban
154308,Sarbeni,tr,urban
154344,Slobozia Mandra,tr,urban
154380,Smardioasa,tr,urban
154415,Stejaru,tr,urban
154460,Suhaia,tr,urban
154497,Storobaneasa,tr,urban
154521,Talpa,tr,urban
154585,Tatarastii De Jos,tr,urban
154665,Tatarastii De Sus,tr,urban
154709,Toporu,gr,urban
154736,Traian,tr,urban
154754,Trivalea-Mosteni,tr,urban
154790,Troianul,tr,urban
154834,Tiganesti,tr,urban
154852,Vedea,tr,urban
154914,Viisoara,tr,urban
154932,Vartoape,tr,urban
154978,Zambreasca,tr,urban
154996,Nenciulesti,tr,urban
155083,Beciu,tr,urban
155092,Beuca,tr,urban
155109,Dracea,tr,urban
155118,Fantanele,tr,urban
155127,Frasinet,tr,urban
155136,Purani,tr,urban
155145,Saelele,tr,urban
155154,Uda-Clocociov,tr,urban
155243,Municipiul Timisoara,tm,urban
155261,Dumbravita,tm,urban
155289,Ghiroda,tm,urban
155314,Giroc,tm,urban
155350,Municipiul Lugoj,tm,urban
155403,Oras Buzias,tm,urban
155458,Oras Deta,tm,urban
155494,Oras Jimbolia,tm,urban
155528,Oras Sannicolau Mare,tm,urban
155546,Balint,tm,urban
155591,Banloc,tm,urban
155662,Bara,tm,urban
155724,Beba Veche,tm,urban
155760,Becicherecu Mic,tm,urban
155797,Belint,tm,urban
155840,Bethausen,tm,urban
155911,Biled,tm,urban
155957,Barna,tm,urban
156035,Bogda,tm,urban
156106,Boldur,tm,urban
156151,Brestovat,tm,urban
156213,Carpinis,tm,urban
156259,Cenad,tm,urban
156277,Cenei,tm,urban
156311,Cheveresu Mare,tm,urban
156357,Oras Ciacova,tm,urban
156437,Comlosu Mare,tm,urban
156473,Costeiu,tm,urban
156534,Criciova,tm,urban
156589,Curtea,tm,urban
156623,Darova,tm,urban
156669,Denta,tm,urban
156712,Dudestii Vechi,tm,urban
156767,Dumbrava,tm,urban
156801,Oras Faget,tm,urban
156927,Fardea,tm,urban
157004,Foeni,tm,urban
157031,Gavojdia,tm,urban
157086,Oras Gataia,tm,urban
157193,Ghizela,tm,urban
157246,Giarmata,tm,urban
157273,Giera,tm,urban
157317,Giulvaz,tm,urban
157362,Jamu Mare,tm,urban
157424,Jebel,tm,urban
157451,Lenauheim,tm,urban
157497,Liebling,tm,urban
