SIRUTA,01,02,03,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,35,36,37,38,39,41,42,43,45,46,47,49,50,51,52,53,55,56,58,59,60,61,62,63,64,65,66,68,69,70,71,72,73,74,75,77,78,79,80,81,82,84,85,86,87,88,90,91,92,93,94,95,96,97,98,99
1017,279,16,0,0,0,0,34,0,903,7,0,23,664,753,79,44,74,0,10,0,221,2335,334,246,3,0,413,0,0,139,70,90,24,793,0,79,0,1077,249,916,436,919,1442,1453,0,0,47,85,239,635,74,24,3,19,175,49,23,0,40,98,109,192,595,9,55,111,29,58,28,25,122,243,127,0,104,567,8,4,23,16,76,76,0,23,146,0,0,0
1071,8,0,0,0,0,0,0,0,70,0,0,13,0,0,29,15,0,0,3,0,0,12,0,0,49,0,0,148,0,10,0,0,0,0,0,0,0,118,0,29,62,165,76,343,0,0,0,51,0,25,0,1,0,0,2,4,0,0,7,16,2,4,5,0,10,0,0,0,0,0,1,4,1,0,0,4,0,0,0,10,0,0,0,2,1,0,0,0
1151,3,76,0,0,0,620,23,0,0,0,0,0,8,0,12,0,0,0,0,0,7,1,0,3,1,0,0,0,0,2,1,0,0,0,0,2,0,72,21,4,24,37,80,111,0,0,0,0,7,19,0,0,0,1,0,0,0,0,0,0,2,3,5,0,0,4,0,2,0,0,1,0,0,0,2,1,0,0,0,0,0,3,0,1,0,0,0,0
1213,76,150,0,0,0,0,7,0,93,43,0,0,216,330,28,5,1,0,26,0,0,229,18,61,0,34,49,0,0,91,47,80,0,0,0,109,0,230,56,132,33,152,391,302,0,0,6,2,12,260,2,0,0,0,4,0,14,0,4,8,5,5,18,0,4,19,2,7,0,2,26,11,81,0,9,14,0,0,1,2,0,9,0,12,9,0,0,0
1348,47,0,0,0,0,0,0,0,308,6,0,0,41,1,131,0,4,0,10,0,5,16,0,30,84,204,3626,5,0,20,3,0,0,0,0,5,0,160,131,134,56,104,240,64,0,0,9,1,14,77,0,9,0,0,25,0,1,0,4,2,3,10,26,0,10,12,46,0,0,1,3,12,108,0,12,34,0,0,0,1,0,5,0,1,7,0,0,0
1455,4,2,0,0,0,0,0,0,31,22,0,0,17,0,88,0,0,0,0,0,0,0,0,42,0,0,0,0,0,233,0,0,0,0,0,32,0,19,0,4,38,96,197,91,0,0,0,0,2,61,0,0,0,0,1,1,0,0,2,1,0,2,7,0,0,5,6,0,0,0,0,7,21,0,11,7,0,0,0,0,0,26,0,0,3,0,0,0
1696,4,64,0,0,0,0,1,0,1878,2,0,0,16,0,48,16,1,0,0,0,220,41,0,2065,0,5,100,1021,4,72,4,2,1,0,0,1,0,72,1,20,42,70,327,85,0,0,0,52,14,79,4,0,1,2,2,3,0,0,19,12,1,9,26,0,2,1,2,1,0,1,0,3,60,0,1,13,0,0,0,0,1,22,0,6,11,0,0,0
1794,4,0,0,0,0,0,61,0,62,0,0,0,1,0,0,0,1,0,0,0,12,7,1,0,0,0,0,0,0,4,15,3,0,0,0,64,0,113,31,28,27,36,367,166,0,0,1,0,0,35,0,1,0,0,10,0,0,0,1,2,3,3,18,0,0,3,6,2,1,0,56,19,1,0,6,2,0,0,0,0,0,3,0,0,8,0,0,0
1874,44,93,8,0,0,0,68,0,649,0,0,44,402,780,696,555,20,0,10,0,64,626,30,359,0,0,1795,16,0,473,70,3,2,0,22,107,0,297,62,312,308,231,717,1273,0,0,7,36,24,126,2,4,3,2,8,1,3,3,18,40,28,21,122,0,9,20,5,12,14,12,0,27,99,0,19,106,0,7,0,0,1,11,0,2,17,0,0,0
1936,0,33,0,0,0,0,6,0,39,0,0,121,0,2,26,0,0,0,42,0,0,10,109,2,0,0,0,0,0,0,0,0,0,0,0,1,0,22,0,50,32,64,80,62,0,0,0,0,0,28,0,0,0,0,1,0,0,0,0,6,9,0,2,0,0,0,2,3,0,0,0,1,20,0,0,5,0,0,0,0,0,1,0,0,5,0,0,0
2130,0,10,0,0,0,0,1,0,1,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,25,7,0,0,0,0,23,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2309,0,126,0,0,0,2,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,2,10,14,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2381,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,2,3,7,0,0,0,0,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0
2577,0,14,0,0,0,0,0,0,10,0,0,0,1,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,4,1,3,15,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,4,0,0,1,0,0,0
2915,1,0,0,0,0,0,12,0,12,0,0,0,151,0,12,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,26,23,4,34,11,0,0,4,0,2,7,0,0,0,0,5,0,52,0,0,0,0,1,9,0,0,7,5,0,0,0,0,2,0,0,5,0,0,0,0,0,0,2,0,0,4,0,0,0
2988,20,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,6,0,0,16,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3039,0,86,0,0,0,0,0,0,1,0,0,0,0,0,5703,5,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,112,0,3,12,9,52,29,0,0,0,1,0,13,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,4,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0
3397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3459,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3761,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3805,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,30,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3958,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,15,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4008,0,12,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,3,1,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4106,4,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,1,6,0,7,18,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,8,1,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,1,1,0,0,0
4142,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2,0,0,0,0,0,0,9,0,22,0,0,15,9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,4,0,0,0,1,0,0,0,0,1,0,0,0,0
4188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,12,0,1,35,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4240,8,0,0,0,0,0,0,0,4,0,0,4,0,62,1,0,0,0,0,0,9,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,16,0,51,20,0,29,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4268,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4302,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,22,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4366,94,3,0,0,0,0,13,0,2413,0,0,52,0,2,0,1,1,0,0,0,0,15,0,10,0,19,0,0,0,124,0,0,0,0,0,14,0,20,0,11,5,361,33,588,0,0,2,0,17,9,0,0,0,0,0,0,0,0,0,1,0,1,4,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
4482,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,1,2,27,34,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4525,0,52,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,11,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4703,37,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4767,0,9,0,0,0,0,0,0,4,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,4,0,7,1,9,0,0,0,0,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4927,30,19,2,0,0,0,0,0,330,0,0,0,2,0,11,0,2,0,1,0,1,10,0,0,0,0,0,0,0,39,2,9,0,0,0,3,0,83,5,13,24,52,38,37,0,0,0,8,9,5,0,0,0,0,6,0,0,0,2,2,1,5,1,4,5,0,4,10,1,1,0,12,12,0,0,5,2,0,0,5,0,7,0,0,2,0,0,0
4981,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5103,403,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,3,67,26,7,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5167,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,2,0,4,6,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5210,27,0,0,0,0,0,0,0,28,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,5,0,2,1,6,20,0,0,3,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,5,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0
5309,16,0,0,0,0,0,47,0,4,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,11,4,0,8,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,3,0,0,0,0,0,5,0,0,0,0,0,0
5336,0,0,0,0,0,0,0,0,0,0,0,0,11,0,8,0,0,0,0,0,3,0,0,9,0,0,0,0,0,4,0,0,0,0,0,0,0,33,0,14,0,6,31,15,0,0,0,0,16,7,0,0,0,2,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0
5577,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,8,4,0,1,14,0,0,0,0,15,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,7,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
5700,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,1,3,7,8,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5755,2,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,6,0,0,0,0,20,0,0,0,0,0,0,0,22,0,3,1,4,10,29,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5826,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6048,3,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0
6119,0,0,2,0,0,0,0,0,4,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,1,3,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
6164,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,22,3,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6217,20,25,0,0,0,0,0,0,27,0,0,12,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,7,0,14,4,22,5,9,0,0,0,3,0,12,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6397,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6468,0,24,0,0,0,0,0,0,6,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,13,3,1,0,11,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6547,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,5,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
6592,3,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,5,3,0,0,0,0,2,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6627,13,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6761,0,0,0,0,0,23,5,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,12,7,26,19,0,0,2,0,4,5,0,0,0,0,0,1,0,0,0,0,0,0,66,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6930,6,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,3,0,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
