Cod,Tara,Librarie,CostLunarBasic,CostLunarStandard,CostLunarPremium,Internet,HDI,Venit,IndiceFericire,IndiceEducatie
ISL,Islanda,1.0994502988174524,0.4009187522401475,1.053288662387427,1.2947522623667076,1.2825535538649577,1.1895444379089049,1.7194391368585118,1.5610587049162044,1.0567879798428674
NOR,Norvegia,-0.9798859618663794,0.8688677999155856,0.14390584269516146,0.6294830273119933,1.2011442525617253,1.2113078893487403,1.1485483434498198,1.2903274285057877,1.0862917748719498
DNK,Danemarca,-0.946330239531514,1.9281810287193246,1.187877319701882,1.108373332701574,1.2011442525617253,1.069845454989809,1.3145014086522495,1.638410498176323,1.1354647665870874
KOR,Coreea de Sud,-0.23383040195453655,-0.0927417815713031,-0.11072134681867263,-0.22475373365320409,1.0383256499552607,0.8195657634317015,0.4081940684992982,-0.4758718509335973,0.5650580626914922
MYS,Malaysia,0.6128923249619028,0.020388757427153858,-0.40899891167773583,-0.5949229967381228,1.0383256499552607,-0.5080047743982662,-0.647022145182653,-0.39852005767347876,-0.8412895003614398
GBR,Regatul Unit,1.385792462741638,-0.17501853720654503,0.5185715644083746,0.8184505532224764,1.0383256499552607,0.7760388605520304,0.8686934714902429,0.6199452202514221,1.0764571765289224
NZL,Noua Zeelanda,0.760537503235311,0.2826459160144881,0.2748569687308475,0.41980673143871794,0.9569163486520282,0.9501464720707149,0.907136264892147,1.032488117638724,1.1059609715580048
AUS,Australia,0.7940932255701765,-0.21101461779696348,0.12571818630131587,0.27743393794451826,0.9569163486520282,1.1024906321495624,1.251015155705643,0.9938122210086642,1.2239761516743348
CHE,Elvetia,0.11403058625023574,2.380703184713155,3.159419272794714,3.0135801692784985,0.9569163486520282,1.222189615068658,3.2585699774123023,1.1871917041589624,0.9092690046974548
IRL,Irlanda,1.2101841825225086,0.4009187522401475,1.053288662387427,1.2947522623667076,0.8755070473487958,1.037200277830056,0.895335290815013,0.7617568412283074,1.1157955699010325
ESP,Spania,-0.19580058330835567,0.4009187522401475,1.053288662387427,1.2947522623667076,0.7940977460455635,0.6019312490333459,0.13548700172441558,0.15583446069070853,0.19134332565644702
HKG,Hong Kong,-0.7360477128996902,-0.08759948434410059,-0.6454384447977249,-0.8770799874811728,0.7126884447423321,1.1133723578694803,0.8373312625346193,-1.3009576457082013,0.4962158742902996
AUT,Austria,0.2639128126793016,0.4009187522401475,1.053288662387427,1.2947522623667076,0.7126884447423321,0.7216302319524415,0.7168642303256996,1.0067041865520172,0.4667120792612171
FIN,Finlanda,-1.5201330914577138,0.4009187522401475,0.6422476278865227,0.7097295109178146,0.7126884447423321,0.982791649230467,0.7918302915992396,1.9091417745867396,0.9879457914416748
BEL,Belgia,-0.4631278379094508,0.9819983389140434,1.2606279452772635,1.2947522623667076,0.7126884447423321,0.9501464720707149,0.6482766702305598,0.6972970135115418,0.8699306113253448
CAN,Canada,0.9339087352987827,-0.17501853720654503,0.034779904332089336,-0.0746151514229573,0.7126884447423321,0.939264746350797,0.9552364377128703,0.8262166689450731,0.9289382013835098
NDL,Tarile de Jos,-0.031377543867514734,0.4009187522401475,0.6422476278865227,0.7097295109178146,0.6312791434390996,0.9936733749503848,1.2687390237341485,1.3934631528526134,0.9977803897847023
USA,Statele Unite,0.46301009853283687,0.3803495633313375,0.8059365354311309,0.6916093372003709,0.6312791434390996,0.6672216033528526,1.8642550143151884,0.7359729101416005,0.9682765947556198
EST,Estonia,1.176628460187643,0.4009187522401475,-0.17619690983651629,-0.46031599197997064,0.5498698421358672,0.4387053632345793,-0.20423914124927878,0.18161839177741432,0.6339002510926847
LVA,Letonia,1.16991731572067,0.4009187522401475,-0.17619690983651629,-0.46031599197997064,0.5498698421358672,0.1448987687967993,-0.5219243509940983,-0.14068074680641504,0.6043964560636021
SGP,Singapore,1.0054942762798291,0.6477490191458732,0.3767078445363816,0.20495324307474364,0.5498698421358672,0.9719099235105492,2.264539573629011,0.34921394384100546,0.27002011240066703
DEU,Germania,0.2952314868585094,0.4009187522401475,1.053288662387427,1.2947522623667076,0.5498698421358672,1.0045551006703026,0.9405823167386063,0.7359729101416005,1.3321567334476363
URY,Uruguay,-0.46424636198727964,0.3803495633313375,0.44218340755422464,0.17389008813055484,0.4684605408326349,-0.4427144200787595,-0.5739457335556413,0.22029428840747417,-0.7036051235590547
ISR,Israel,0.34556507036080764,1.1876902280021482,1.1915148509806517,1.092841755229479,0.4684605408326349,0.7542754091121948,0.5846559758071248,1.4837069116560848,0.6830732428078222
CHL,Chile,-0.4586537415981354,-0.6069715042915647,-0.6781762263066464,-0.6674036916078969,0.4684605408326349,0.057844963037457085,-0.7882305096777759,0.014022839713823195,-0.04468703457621198
HUN,Ungaria,1.6553567654983907,-0.3138605623410159,-0.38717372400512123,-0.3981896820915926,0.38705123952940246,-0.040090568441802914,-0.6012971051192264,-0.35984416104341893,0.10283194056919948
SVK,Slovacia,1.8242539012505472,0.4009187522401475,-0.17619690983651629,-0.46031599197997064,0.38705123952940246,-0.018327117001967357,-0.5132603447096202,0.19451035732076724,0.26018551405763957
RUS,Rusia,0.34332802220514996,-0.06188799820808715,-0.33988581738112383,-0.4551387994892721,0.3056419382261701,-0.3012519857198296,-0.816717164823465,-0.8497388516908394,0.27002011240066703
SWE,Suedia,-1.1666794828637974,1.362528333727037,0.8823246922852808,1.1342592951550643,0.3056419382261701,1.0589637292698915,0.7284411352747867,1.3934631528526134,0.9781111930986474
