Tara,C1,C2,C3,C4,C5,C6,C7,C8,C9
Argentina,-2.798946631647668,1.6183140221115135,-1.5915362577444845,-0.19969041286413142,0.676504528005506,-0.15377164561701637,-0.49961667724032677,-0.6749835974036029,-0.01452673427235022
Austria,2.2846173368294784,-0.22526420304711284,0.20390681620762,0.10520135188195902,0.37578864475764345,0.2615776678854008,-0.4893674014494675,0.13363813537359695,-0.013558313911812472
Bulgaria,-1.4193238128072347,0.26928349575812877,2.0025152039878873,-0.42973314063759205,-0.7229151154254501,-0.16780623559061789,0.22838122332146868,-0.7951677777671701,-0.08325577403162554
Chile,-0.845804524929622,0.5722231144863632,-0.9159661031207464,-0.614376741576661,0.12120720451298556,0.11484367421426432,-0.17648710231021988,0.09331150338143936,0.05846630713966649
Columbia,-3.697501842205754,0.6068171521017007,-0.6011358890860206,0.26394800687049885,0.6630935676901359,0.021990667334687134,-0.22437461456211555,0.09451684493284475,-0.09409187572909038
Costa Rica,-0.5638511125848036,-1.2757933216477808,0.33244813539505685,-0.7610138703983244,0.5163341522252698,0.5090282306861891,-0.06070175397711835,-0.3878849324318039,0.1347902361821852
Croatia,-0.7742312333021849,-2.0153968536338893,-2.8062865476884156,-0.24810417665523957,-0.4908473549456074,-0.3459024376954751,0.26317801456022055,-0.15321827233382815,0.15003162610386747
Cehia,0.7821205098527453,1.5228889389737217,1.4667691099291438,-0.5812190114027808,0.15560681214677932,-0.8174832571178808,0.23569093290895787,0.2575235298010673,0.04333941286181261
Estonia,0.5603422077833586,1.2030327982116278,0.515592743102244,-0.6879176863127316,-0.3100133249510184,-0.17209024388297103,0.33985409371183295,0.12655123917871983,0.043553633847037934
Franta,1.9870702836215706,-0.9186828776353326,0.4598642295522058,0.13833053883246457,-0.26242414646019796,0.044863692958693614,-0.27524644811990695,0.1771698930939475,-0.01673923409807559
Germania,2.626306020166431,0.10475378454818104,0.08442493677022349,0.3829091531665832,-0.11965915749823836,-0.3265393829849988,-0.5918410460121343,-0.11292689309036558,-0.0004827076271866436
Grecia,-0.10801494872355392,-0.675781814959208,-0.39222480469514215,-0.20856733164810845,-0.8700154894362443,-0.569772282618852,-0.2897255193202306,0.2892375549238558,0.04771867740009229
Guatemala,-3.5239095254035933,-2.6798005802817833,1.2454510584919745,0.16710516487768878,1.27335323467527,-0.03071046527153582,0.4350463883226519,0.17465946023863485,-0.05415048856713709
Hong Kong,-0.002828776350941451,0.9391467544927053,-1.4811440076232658,0.8651314738622135,-1.3011687915295453,0.2077203592706767,0.7410386360250757,0.11368630892639583,0.013114110872229906
Islanda,3.480776357681749,0.7895502254627915,0.4363979742572106,0.45796853843030033,0.7121845858970861,0.2499829371842277,-0.12714693586737805,-0.003565311722756529,-0.014611228539672257
India,-6.328496765098875,0.19804707535066346,1.2781977116603378,1.9817426473849706,0.12812883923255608,-0.14773887109437875,-0.23355280840877204,0.03974414153366651,0.06656855321887512
Israel,2.662253534464352,-0.5085873520866899,0.4253188023287618,-0.43488119867046626,0.38139234247656434,-0.21829005573061266,-0.0018440615823530862,0.17182521503745435,0.05751420745339775
Italia,0.8736799449305385,-1.3091265807666779,0.45437768925413463,0.3615369496879679,-0.1881799146972888,-0.29018059354392284,-0.7397059858382083,0.6045041704033125,-0.026835483002424984
Japonia,0.9797103246122777,-0.07480834792743614,0.0611577798792602,0.5874665247531053,-0.5476104343738886,-0.22001296523522454,-0.1756586955851673,0.3341055185606432,-0.00432043734675651
Malaysia,-0.8247276344624253,0.6381987755139059,0.2928197020963317,-0.8296528062166195,-0.09589466907947658,1.2443602459821819,0.3119950328111615,0.020820811532363738,-0.041665172446736044
Mexic,-1.8826673668557077,-0.5950824945537434,-0.014325760730492987,-0.10652723155697791,0.8620744990386664,0.25640353671189314,-0.27655150245141813,0.08413797960327392,-0.019295757898282688
Moldova,-2.089567795102674,-2.0964672778188818,-0.3530030563093519,-0.09511187660019219,-0.28389757918047487,-0.7848175007237155,0.2879681829126144,0.10860537356656326,0.058835544195132046
Norvegia,2.5746726595910827,-0.030428876816571544,-1.469202825049199,-0.0739929805987087,0.24726721614319752,-0.13438919900399335,0.4315301255269758,-0.12944292909604604,-0.3607567831937692
Paraguay,-2.110420282983389,-1.443477886548041,0.31620535500864666,-0.38230465362626953,0.05631261590274702,0.8207990856486509,-0.0028904166109642872,-0.052547130977226124,-0.06163341723157873
Peru,-3.0512375726880285,-0.05559957104017179,-0.2209775502064412,0.14225263547420472,0.11313154179418379,-0.07939186431485805,0.022718838142943672,0.12718416745155922,-0.016212111955488342
